Database,BostonDataType,DataType
SQLite,Boolean,BIT
SQLite,LogicalTrueFalse,BIT
SQLite,LogicalYesNo,BIT
SQLite,NumericAutoCounter,AUTOINCREMENT
SQLite,NumericDecimal,NUMBER
SQLite,NumericFloatCustomPrecision,NUMBER
SQLite,NumericFloatDoublePrecision,NUMBER
SQLite,NumericFloatSinglePrecision,NUMBER
SQLite,NumericMoney,NUMBER
SQLite,NumericSignedBigInteger,NUMBER
SQLite,NumericSignedInteger,NUMBER
SQLite,NumericSignedSmallInteger,NUMBER
SQLite,NumericUnsignedBigInteger,NUMBER
SQLite,NumericUnsignedInteger,NUMBER
SQLite,NumericUnsignedSmallInteger,NUMBER
SQLite,NumericUnsignedTinyInteger,NUMBER
SQLite,OtherObjectID,NUMBER
SQLite,OtherRowID,NUMBER
SQLite,RawDataFixedLength,IMAGE
SQLite,RawDataLargeLength,IMAGE
SQLite,RawDataOLEObject,IMAGE
SQLite,RawDataPicture,IMAGE
SQLite,RawDataVariableLength,IMAGE
SQLite,TemporalAutoTimestamp,DATETIME
SQLite,TemporalDate,DATETIME
SQLite,TemporalDateAndTime,DATETIME
SQLite,TemporalTime,DATETIME
SQLite,TextFixedLength,TEXT
SQLite,TextLargeLength,TEXT
SQLite,TextVariableLength,TEXT
